연번,제목,날짜,글 내용,댓글 내용
11,예산 200만원 현재 gtx750 사용 중ㅜㅜ,2024.06.26 14:49,현재 gtx750 사용 중인데 배그나 옵치 같은 게임 하고 싶어 딱 200만원으로 견적을 맞추고 싶은데 올해 말 부터 라이젠 9000 엔비디아 5000대 출시 예정인 거 같은데 기다리는게 맞을까요? 아니면 구매가 맞을까요 ㅜㅜ,"PC가 급하신 것이 아니라면 기다리시는 것이 좋겠으나, GTX750이라면 지금 게임을 하시기에도 어려움이 있으실 것 같아서 구입해주시는 것도 좋을 것 같습니다! 말씀해주신 예산대라면 7800X3D + RTX4070SUPER 구성이 가능할 것 같네요! -------------------- 아래 카카오톡 채널으로 문의를 남겨주시면 더 자세하게 견적상담을 드리도록 하겠습니다! 카카오채널: https://pf.kakao.com/_ErDGxj / 웹사이트 : 08dragon.com 이미지 카테고리 상품명 수량 가격 합계 CPU AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩(정품)) 1 571,930원 571,930원 || 안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 지금 하시는데 무리가 없다면 기다리는게 맞을 듯 합니다 ^^ 200만원대 가성비로 구성을 짜드리자면 AMD 라이젠 7800X3D + 라데온 RX 7800 XT로 구성이 가능합니다 ^^"
12,컴알못 5600x 3060 ti 이 가격 괜찮을까요?,2024.06.26 14:43,AMD 라이젠5 5600X AMD 공냉식 쿨러 마이크론 CRUCIAL 16G DDR4 PC25600 8GB X2 ASUS B550M-K 갤럭시 지포스 RTX 3060TI D6 8GB 512G 하드디스크 ARX BM600VP 600W 파워 조립식인데 이렇게해서 윈도우 미포함 96만원인데 가격대 괜찮은건가요?,중고제품일까요? || 중고제품일까요?
13,이륙해도될까요?,2024.06.26 14:35,게이밍용으로 구매예정입니다!,안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 게이밍 구성이라면 메모리를 32GB 2EA로 구성을 하시기 보다는 16GB 2EA 로 구성을 하시고 CPU제품을 7800X3D 제품으로 사용을 해주시는게 게이밍에 조금 더 도움이 됩니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다. || 게임용이라면 7500F가 더 나을 것 같습니다!~
14,안녕하세요 7800X3D 새로 구성하려고 합니다,2024.06.26 14:33,안녕하세요 해당 내용으로 피씨 구성을 하려고 하는데 게임용으로 하려고 하나 배그만 주로 하고 화이트 계열로 맞추려고 하는데 과한부분이나 추가할 부분 있을까요?,"쿨러는 듀얼타워 공냉쿨러로 구성을 해주셔도 됩니다! || To. bismarck777 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 화이트 감성에 잘 어울릴 수 있도록 일부 부품을 화이트 제품으로 약간 수정하였습니다 구매에 참고해주시구요, 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! 모니터를 높게 잡으시는 경우이니 예산을 더 사용하더라도 RTX 4070 Ti SUPER 조합으로 추천드립니다 메모리 부분은 게이밍 프레임 향상을 위해 EXPO / XMP 튜닝램으로 구매하시는 경우라면 6000클럭 이상 제품 기준 SK 하이닉스 칩셋을 이용한 제품으로 추천드립니다 DDR5 메모리 기준 EXPO / XMP 적용하여 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라"
15,사무용 컴퓨터 견적 질문,2024.06.26 14:19,안녕하세요 집에서 사무용으로 사용할 컴퓨터 알아보고 있습니다. 게임전혀 안하고 엑셀과 한글위주로 사용하 며 가끔 영상시청정도 합니다. 다만 엑셀이나 한글을 사용할때 용량이 큰(사진등이 많이 포함된)파일을 다룰듯 합니다. 다른곳에서 견적받았는데 괜찮은지 혹시 더 괜찮게 견적내주실수 있는지 궁금해서 글올립니다. 받은견적에는 윈도우10 ms오피스 한글 셋팅해주신다고 합니다! 저렇게 해서 40만원 견적받았습니다,안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 윈도우나 오피스까지 설치를 해주는거라면 가격은 나쁘지 않은 듯 합니다 ^^ 아래 추천견적 하나 보여드릴게요~ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다. || To. user_973763 님 안녕하세요. 고려중이신 예산과 사용 용도를 기반으로 조립 서비스까지 포함하여 견적을 구성하였습니다. 지금 시점에선 라이젠 5500G CPU를 기반으로 하여 구매하시는 편을 추천드립니다 From. 퀘이사존 공식 후원사 팜피씨샵 견적에 대해 궁금하신 점과 부품 변경을 원하시면 아래 카카오톡으로 채팅 남겨주세요! https://pf.kakao.com/_epfZb
16,본체 조립 20년만에 처음인데요,2024.06.26 14:16,안녕하세요 형님들 이번에 드래곤볼 끝내서 본체 조립 했는데요 전원키면 본체는 돌아가는데 모니터 키보드 마우스 불이 안들어와요 램이90퍼 문제라고 해서 램 사서 변경해도 같아요 그럼 보드문제일까요??,부품 구성이 어떻게 될까요? || 부품 구성이 어떻게 될까요?
17,4060ti에 7500f 완본체 가격 어떤가요,2024.06.26 14:14,약 109만원정도 나오는 상품입니다 ssd 램 메인보드 다 좋은거 같구 쿨러도 문제없을듯하고 글카 아수스제품도 괜찮다 하시더군요 단점이라면 그래픽카드가 벌크인 모양입니다 그래도 완본체라 수리기간은 따로 있으니.. 구매할만할까요?,저렴하긴 하네용 || 저렴하긴 하네용
18,4060ti에 7500f 완본체 가격 어떤가요,2024.06.26 14:14,약 109만원정도 나오는 상품입니다 ssd 램 메인보드 다 좋은거 같구 쿨러도 문제없을듯하고 글카 아수스제품도 괜찮다 하시더군요 단점이라면 그래픽카드가 벌크인 모양입니다 그래도 완본체라 수리기간은 따로 있으니.. 구매할만할까요?,저렴하긴 하네용 || 저렴하긴 하네용
19,어떤게 더 합리적인지 봐주셨으면 합니다.,2024.06.26 14:10,두 제품다 삼성전자 PM9A1 M.2 1T로 변경하고 파워 마이크로닉스 COOLMAX FOCUS RRO 600W로 변경할 예정입니다 1번째 가격은 변경 후 84만원 정도 나오며 2번째는 88만원 정도 나옵니다. 애즈락 제품에 대해서 아는게 없어서 안전하게 ASUS 제품으로 마음이 가는데 그래픽카드 두 제품이 차이가 좀 나는 것으로 알고 있어서 어떤게 더 합리적인지 궁금합니다.,메모리가 1장구성일까요? 1장구성이라면 8GB 2장 구성으로 변경이 가능한 부분인지 체크 해주시면 좋을 듯 하고 PCIE4.0 기반의 그래픽카드를 제대로 사용하신다면 메인보드 제품은 B550급으로 구성을 해주셔야 제대로 사용이 가능합니다 ^^ || 메인보드는 변경해주셔야 합니다. RTX 4000번대는 PCIe 4.0 기반이기 때문에 메인보드도 PCIe 4.0을 지원을 해야 성능 하락없이 사용이 가능한 부분입니다. 따라서 PCIe 4.0까지 지원하는 ASRock B550M Phantom Gaming 4 제품 추천드리고 여기에 저렴한 장우컴퍼니 M.2 방열판 하나 정도 추가하시는 편을 추천드립니다.
20,RTX5090 대비해서 컴퓨터 주문하려 합니다! 견적 확인 부탁드려요!,2024.06.26 14:09,"현재 그래픽카드는 RTX3070 보유중이며 RTX5090 나오면 교체 예정입니다 하드디스크는 1개 보유중이여서 위 그림과 같이 주문 시 그래픽카드와 하드디스크만 바로 꽃아서 윈도우 설치해서 우선 쓰려하는데 괜찮을까요? 주 작업이 렌더링 작업이라 램을 128까지 올렸으며, 멀티 작업이 잦은 업종이여서 저렇게 견적을 잡았습니다.","메인보드는 x670e 저렴한 보드로 구성하셔도 오버스펙이고 pcie5.0 지원은 동일합니다. 메모리는 하이닉스 a 다이 언락 고수율 제품으로 구성하는 게 6000 클럭 epxo 적용 호환성이 좋아 추천드립니다. 쿨러는 발키리 gl360 제품이 크라켄보다 상위 쿨링 성능에 가격은 더 저렴해서 대체 가능합니다. 파워는 고주파 발생까지 새제품 교환 정책인 슈퍼플라워로 변경하셔도 좋을 것 같네요. 미니샵 견적달인 coke_bear 님의 견적입니다. LV. 13020 118 구매 2 0 리뷰 8055 73 견적 422 3 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠9-5세대 7950X3D (라파엘) (멀티팩(정품)) 1 0원 857,610원 || 언급하신 사용 용도 외에 다른 용도는 없으신 걸까요?"
21,7800x3D / 4070 ti super 원컴방송용 화이트 PC 맞추려고하는데 견적짯는데 괜찮을까요??,2024.06.26 13:35,"CPU,GPU 를 보유하고있는 상황입니다! 화이트 구성 생각중입니다! 발로란트 QHD 240Hz 방어를 목표로 하고있는데 이 사양일때 괜찮을까요?? CPU,GPU 를 뺀 나머지부품을 100만원 내외로 하려고하는데 혹시 더좋아보이는 견적이있으면 알려주시면 감사하겠습니다!! 아니면 이대로 가려고합니다! 혹시 하단에 배치할 쿨러를 3개 담았는데 LED를 연동하려면 따로 허브를 구입해야할까요..?",하단쿨러는 따로 구성을 안해주셔도 됩니다! 디자인적인 부분 때문에 구성을 해주실까요? || 안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 수냉쿨러 구성이라면 좀 더 저렴한 구성으로 충분히 가능합니다 AMD 라이젠 7800X3D + RTX 4070 TI SUPER 제품으로 가성비 구성 견적 보여드릴게요~ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다.
22,견적 맞추는것 좀 도와주세요,2024.06.26 13:28,"안녕하세요! 친구 컴퓨터 견적 좀 맞춰주고 있는데 저도 잘 아는편이 아니라 어려움이 좀 있습니다 가성비 게임용 pc를 원하는데 옵치, 배그, gta가 주게임이고 FHD 모니터 사용할거 같습니다 7500F RTX4060 조합으로 5년 이상은 쓸거 같은데 공랭구성에 오버는 안하고 사용할 것 같습니다 적당한 쿨러는 무엇인지, 메인보드를 a620으로 낮춰야할지 램은 xmp를 사용하고 싶은데 적당한 클럭과 램타를 잘 모르겠습니다 최대한 가성비 있는 견적으로 맞춰 주고 싶어요 도무지 어떤 부품으로 구성해야할지 감이 안옵니다 도와주세요,,,,,","안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 금액대가 조금 초과 되더라도 부품구성을 조금 탄탄하게 맞춰주셔야 오래 쓰기도 하고 AS서비스도 좋은 제품들로 구성이 가능하기 때문에 추천을 드립니다 ^^ PM9A1제품은 AS서비스 기간이 타제품과 비교해서 2년으로 기간이 짦은 편으로 추천드리지 않는 제품으로 AS서비스 5년까지 지원되는 제품으로 추천드립니다 || SSD의 경우 용량에 따라 500GB, 1TB 속도 차이가 다릅니다. 예산이 가능하다면 최소 1TB 이상 구성하시는 편을 추천드립니다. 해당 케이스보다 새로 나온 마이크로닉스 COOLMAX 스테디 케이스 추천드립니다. 1. 기본 팬이 후면 120mm 1개 / 전면 140mm 3개 구성 2. 전면 C타입 포트 제공 3. 측면 강화유리도 나사 방식이 아닌, 손쉽게 탈착식 분리 가능 4. LED ON/OFF도 가능 5. 4~5만 원대 케이스와 동일 크기! 그래픽카드 가로 355mm까지 호환 가능 무엇보다 가격이 블랙 37,200원 / 화이트 42,000원으로 매우 가성비가 좋아서 추천드립니다. 견적에 대해 궁금하신 점과 부품 변경을 원하시면 아래 카카오톡으로 채팅 남겨주세요! http://pf.kakao.com/_epfZb/chat"
