연번,제목,날짜,글 내용,댓글 내용
11,메인보드랑 호환되는 그래픽카드 알려주실 분 없나요 ㅠ,2024.07.03 02:02,메인보드 A520AM4-M3 CPU RYZEN 5 5600G 그래픽 카드가 없어서 하나 사야되는데 뭘 사야될지 모르겠네요 ㅠㅠ 게임은 피파 배그 정도하는데 .. 메인보드 정보가 너무 적네요 아무리 찾아봐도 안나오ㅏ요 ㅍㅍ,"5600g면 내장그래픽 있지 않나요? 그리고 보통 그래픽카드는 엄청 구형 제품이 아니면 본체 내 타 부속간 간섭이나 크기 제한만 아니면, 물리적인 장착 슬롯 규격은 같아서 보드의 pcie 슬롯이나 그래픽카드의 pcie 버전이나 배속 차이로 낼수 있는 최대성능 차이가 날수는 있어도 사용하는데 문제는 없을겁니다. || @고민장인 어제 테스트 해봤는데 그래픽 품질이 너무 떨어져서요ㅠ 호환되는 그래픽카드 알려주세여 ㅠ"
12,메인보드 추천부탁드려요,2024.07.03 01:14,이번에 메인보드가 고장나서 메인보드랑 램 업글정도만 하려고 합니다 현재 5600x 3060ti 사용중인데 중고 말고 신제품으로 메인보드 추천 부탁드립니다 추후 글카나 cpu업글할수도 있어서 적당히 좋은 라인으로 생각중이에여,안녕하세요 아싸컴입니다 어자피 CPU자체가 7000대와 AM5 소켓이 달라 차후에 CPU만 업그레이드를 하시는 기준으로는 의미가 없으실꺼 같습니다. 같은 AM4 소켓에서 업그레이드는 B550 보드로도 충분해서 가격대랑 블루투스 와이파이 지원되는 메인보드로 해서 [MSI] B550M PRO-VDH WIFI 추천 드립니다 || 안녕하세요 아싸컴입니다 어자피 CPU자체가 7000대와 AM5 소켓이 달라 차후에 CPU만 업그레이드를 하시는 기준으로는 의미가 없으실꺼 같습니다. 같은 AM4 소켓에서 업그레이드는 B550 보드로도 충분해서 가격대랑 블루투스 와이파이 지원되는 메인보드로 해서 [MSI] B550M PRO-VDH WIFI 추천 드립니다
13,(7500F 4060 ti) 완본체 견적 문의드립니다!,2024.07.03 01:09,"1060에서 이제 갈아타려고 하는데, 예산은 100 언저리로 생각하고 있습니다. 인터파크에서 올라온 완본체인데 할인 모두 적용하면 107만 이라고 합니다. 괜찮은 구성일까요?",안녕하세요 아싸컴입니다 현재 구성 자체는 나쁘지 않은 구성입니다 엄청 저렴하거나 한 사양은 아니지만 그래도 가격대비 괜찮아서 그대로 구매하셔도 될것 같습니다 || 안녕하세요 아싸컴입니다 현재 구성 자체는 나쁘지 않은 구성입니다 엄청 저렴하거나 한 사양은 아니지만 그래도 가격대비 괜찮아서 그대로 구매하셔도 될것 같습니다
14,인터넷 최저가로 사려면 드래곤볼이 답이죠?,2024.07.03 00:33,"다나와나 여기서 사려면 295~310만원, 인터넷 드래곤볼은 275만원.. 인터넷 최저가에 가장 가깝게 파는 곳 없을까요?",안녕하세요 아싸컴입니다 아무래도 일반 업체는 최저가에서 어느정도 마진을 하여 판매 하기 때문에 개인이 하나하나 구매 하시는것과는 다를수 밖에 없습니다 . 만약 모든 부품에 대한 최저가를 원하신다면 하나하나 고르셔서 구매를 하신후에 차후 조립을 의뢰 하시는게 나을것으로 보여집니다 || 발품팔아봐야죠 뭐.. 보통 한 사이트에서 다 최저가로 팔지는 않더라구요. 거기도 마진은 남겨야하니까
15,컴린이의 첫 조립컴,2024.07.03 00:31,첫 컴퓨터를 조립하고 연결해서 켜보니 이 화면에서 바이오스 로 넘어가기만 하고 더 이상 진행이 안되는데 뭐땜에 그러는지 궁급합니다..,안녕하세요 아싸컴입니다 우선 그 화면은 간단하게 메인보드의 TPM 2.0 보안 설정을 할꺼냐 라는것을 물어 보는것으로써 윈도우 11 설치 하신다면 Y를 누르시면 됩니다 그 한번 누르시면 다음에는 물어보지 않고 그이후 BIOS로 들어가는것은 윈도우가 설치 안되어있어서 그렇습니다 윈도우를 설치 하셔서 사용 해주시면 됩니다 || 안녕하세요 아싸컴입니다 우선 그 화면은 간단하게 메인보드의 TPM 2.0 보안 설정을 할꺼냐 라는것을 물어 보는것으로써 윈도우 11 설치 하신다면 Y를 누르시면 됩니다 그 한번 누르시면 다음에는 물어보지 않고 그이후 BIOS로 들어가는것은 윈도우가 설치 안되어있어서 그렇습니다 윈도우를 설치 하셔서 사용 해주시면 됩니다
16,견적 최종으로 짜봤습니다. 한번 봐주세요,2024.07.03 00:30,영상편집용입니다!,"안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * PM9A1제품은 AS서비스 기간이 타제품과 비교해서 2년으로 기간이 짦은 편으로 추천드리지 않는 제품으로 AS서비스 5년까지 지원되는 제품으로 추천드립니다 1. Western Digital WD BLACK SN850X M.2 NVMe 2. 마이크론 Crucial P5 Plus M.2 NVMe 3. SK하이닉스 Platinum P41 M.2 NVMe || To. user_966405 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 고려중이신 예산과 사용 용도를 기반으로 견적을 구성 할 경우 호환에 문제없는 견적으로 그대로 구매하셔도 무방합니다~! 다만, 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! 메인보드 부분이 CPU에 비해 살짝 높게 잡혀있다 판단되는데 추후에 CPU 등 업그레이드를 고려하여 일부러 체급을 높게 잡으신 경우가 아니라면 낮춰 구성하여도 무방하셔요 지금 조합이라면 SSD는 구매 고려중이신 제품보다는 한 체급 더 높은 성능이면서 AS 기간이 5년인 WD SN850X / 마이크론 T500으로 선회하시는 편을 권장드립니다"
17,컴린이 3D작업용 + 게임 견적 봐주세요!,2024.07.03 00:27,"3D작업용 + 게임용도로 컴퓨터 구매하려고합니다. 3d작업은 캐드, 스케치업 게임은 배그, 피파 정도합니다!","To. user_975443 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 화이트 감성에 잘 어울릴 수 있도록 일부 부품을 화이트 제품으로 약간 수정하였습니다 구매에 참고해주시구요, 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! GeIL DDR5-5600 CL46 PRISTINE V (16GB) 서린 제품의 가장 큰 장점은 해당 제품에 EXPO / XMP 값이 내장되어있습니다 해당 메모리를 장착했을 때 바이오스 버전에 따라서 4800 / 5200클럭으로 동작하는 경우가 많은데 그 때 바이오스 버전과 관계없이 5600클럭으로 적용해서 사용이 가능한 이점이 있습니다! 그렇다보니 해당 모델을 자주 추천드리고있구용 || 안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 게임 + 작업 용으로 사용을 하시는거라면 주변 부분을 조금 내려서 구성을 해주시고 AMD 라이젠 7950X3D + RTX 4070 SUPER 급으로 구성을 해주셔도 좋을 듯 합니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다."
18,와우 용군단 최적화 스펙 견적 문의(데스크탑 본체만),2024.07.03 00:25,와우 용군단 데스크탑 본제 최적화 스펙 견적 추천 부탁드립니다. 가격대 Max. 80만원대 와우만 하는 유저지만 CPU는 발열 및 전기 적게 먹고 메모리는 D램 있는 16x2 SSD 1TB (삼성 또는 믿을 만한 메이커 및 Nvme 또는 2.5인치) 그래픽카드도 발열 적고 및 적게 먹는것 쿨러 또한 발열 및 전기 적게 먹고 케이스는 가츠 화이트 및 블랙 파워는 600W 정도(그 이상도 상관은 없으나 딱 와우만 하면 되는 수준) *그외 추천사항 공유 부탁드립니다. 고수님들 부탁드립니다. 수고하세요!!,안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 원하는 견적으로 맞춰드리기엔 가격대가 너무 낮습니다.. AMD 라이젠 5600 + 라데온 RX 6600 + 32GB + 500GB로 구성을 하시는데 80만원정도기 때문에 1TB로 구성을 하신다면 90만원정도 생각은 하셔야 합니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 || To. Gutz 님 안녕하세요. 고려중이신 예산과 사용 용도를 기반으로 조립 서비스까지 포함하여 견적을 구성하였습니다. 해당 예산 기반이라면 라이젠 5600 + RX 6600 조합이 최선이라 보여지네요ㅠㅠ From. 퀘이사존 공식 후원사 팜피씨샵 견적에 대해 궁금하신 점과 부품 변경을 원하시면 아래 카카오톡으로 채팅 남겨주세요! https://pf.kakao.com/_epfZb
19,ssd 호환 여부,2024.07.02 23:57,밑에 메인보드에 SK하이닉스 Gold P31 M.2 NVMe (1TB) SSD가 호환가능할까요?,가능해요. || @둘프스 넵 감사합니다!
20,영상편집용 조립pc 견적,2024.07.02 23:54,"영상편집과 그래픽 편집이 주이고, 3d작업은 취미로 하려고 합니다. (에펙, 프리미어프로, 다빈치리졸브, 포토샵, 일러스트, 블랜더 등) 예산은 200만 원 정도로 생각하고 있어요. 견적 추천해 주심 감사하겠습니다! *참고사항 SSD는 따로 사놓은 980 pro 2tb가 있어서 따로 추가할 예정입니다. ssd는 제외하고 짜주시거나, 조금 저렴하고 용량 낮은 걸로 견적에 추가해 주시면 감사하겠습니다.",To. user_880679 님 안녕하세요. 고려중이신 예산과 사용 용도를 기반으로 조립 서비스까지 포함하여 견적을 구성하였습니다. 해당 예산 기반이라면 12코어 CPU인 라이젠 7900에 그래픽카드 RTX 4070 SUPER 조합으로 추천드립니다! DDR5 메모리 기준 EXPO / XMP 적용 없이 순정 상태로 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라 SK하이닉스 칩셋을 사용한 ESSENCORE / PATRIOT / TeamGroup / GEIL (SK하이닉스 선별 제품) 사 메모리로 구성하시는 편을 추천드립니다 From. 퀘이사존 공식 후원사 팜피씨샵 || 안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 해당 구성으로 추천드립니다. 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다.
21,견적문의드립니다,2024.07.02 23:52,7800x3d RTX4070super 조합으로 보고있습니다 특가도있어서 완제살까 조립을할까 고민중이에요,To. user_975747 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! GeIL DDR5-5600 CL46 PRISTINE V (16GB) 서린 제품의 가장 큰 장점은 해당 제품에 EXPO / XMP 값이 내장되어있습니다 해당 메모리를 장착했을 때 바이오스 버전에 따라서 4800 / 5200클럭으로 동작하는 경우가 많은데 그 때 바이오스 버전과 관계없이 5600클럭으로 적용해서 사용이 가능한 이점이 있습니다! 그렇다보니 해당 모델을 자주 추천드리고있구용 || To. user_975747 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! GeIL DDR5-5600 CL46 PRISTINE V (16GB) 서린 제품의 가장 큰 장점은 해당 제품에 EXPO / XMP 값이 내장되어있습니다 해당 메모리를 장착했을 때 바이오스 버전에 따라서 4800 / 5200클럭으로 동작하는 경우가 많은데 그 때 바이오스 버전과 관계없이 5600클럭으로 적용해서 사용이 가능한 이점이 있습니다! 그렇다보니 해당 모델을 자주 추천드리고있구용
